"think rationally" is both narrow and perhaps circular.	Too narrow, and anticipation of consequences is problematic to define precisely and judge.	I don't know if the set of things is the right set, but the idea that it's whatever you have is appealing.	Having it be behavior is fine.  Adaptivity -- too narrow.					
								
	Too specific	circular definition ("intellectual in nature")			Too specific	I think this definition captures the "vagueness" of the term "intelligence" pretty well, by not trying to define it too concisely.		Again the "optimality" part, which was critiqued at length decades ago by the "bounded rationality" ideas.
This might be perfect. 	It's a bit narrow in scope, but still valid.	This goes well with my idea of intelligence as the application of knowledge. 	Describing it as a quality of behavior is nice, but maybe better as a set of behaviors. 	This precludes the existence of bias. 	No, that's the subconscious level. 	These are intelligent activities, but don't make for a general definition. 	Clearly. 	Beliefs and goal fulfillment? No. 
								
		I'm not sure whether knowledge should be considered part of intelligence, even though intelligence relies on knowledge.	Too broad; this makes plants intelligent.					
								
					This is strategic intelligence 			
Again, I do not like relating to the environment.								
	may involve anticipation but not definitive	confusing			too vague		unjustified focus on "on the spot"	
								
Rational thought is only one aspect. Ignores the role of emotion in intelligence. 	That's what Deep Blue did and I don't think that it was intelligent. 		Needs to include some form of active adaptation rather than reaction. For example, intelligent agent would be able to modify the environment rather than just coping with it. 					
								
Irrational people can still intelligent.  High IQ people can be irrational, have poor social skills, etc.  Different types of intelligence are not comparable. Thus we cannot consider an individual's behavior as a whole.  Also irrational thinking can be an 'intelligent strategy' for people like artists, creative researchers, paradigm explorers.  Sometimes rationality is a hindrance to creative thinking.	Many instances of intelligence have occurred with complete disregard for consequences..  Many breakthroughs for example had nothing to do with reasoning about consequences.	We cannot group different intelligence capabilities into one 'intelligence score' as they are not comparable.	An intelligence approach may or may not be adaptive. 	Very intelligence people have lacked self-governing.  We should differentiate between intelligence and 'wisdom'.  I am intelligent as in I can score high on an IQ test or program at a high level but have problems with self-government and often act in irrational ways.	Intelligence doesn't just involve 'recognition of relationships' but 'generation of relationships'.  Some of these may even be bullshit until pruned out.			
Rationalist and positivist.	Kantian & Behaviorist.	General Problem Solver again?	Darwinist.	Schopenhauer maybe?	Machiavelli (perhaps). This is not even systemic.	Not so bad.	Don't trust any definition with "clearly" or "obviously" in it. Also: "figured out"? 	Rationalism and utilitarian.
								
	It's not necessarily about anticipating consequences. They may be unpredictable even with smart decisions.	Not only the repertoire of acquired skills, but also the ability to build new approaches to deal with new scenarios.		Biological organisms are not governed only by mechanical logic. There is something more than that. This is the essence of intelligence.				
								
This definition is more about "how" then "what" (requiring it be composed of differentiable components).  It also has the problem that the definition depends on other hard words to define such as "rationally" and "effectively".	Anticipation is certainly a necessary component... but doesn't feel sufficient.  Doesn't leave a role (as is common among many of these definitions) for learning, where a thing is learning to anticipate consequences, but doesn't start with that ability.  Suggesting it becomes intelligent as it learns doesn't feel right.	Depends on the definition of "intellectual" and "knowledge".  And I don't even know what a "learning set" is.  I don't know why "available at any one period of time" is important.	If the environment is not changing, can no intelligent behavior exist?  It seems like an agent in an unknown environment is a classic platform demonstrating intelligent behavior, where the agent's knowledge is changing not the environment itself.	I have no idea what this means.  	The target of "solving problems" seems too narrow.  What does "see relationships" mean?  And between what?  	One of my favorite definitions.  Not sure why.  It suffers from depending on the definitions of other words, but not so directly.  But gives a broad view of how intelligence exhibits itself.	For a shorter, pithy definition I like this.  But it should never have "clearly" in the definition! Yikes!	I think a reworked version of this could be an excellent candidate definition.  It should drop the reference to "optimal" at the end.  But proper behavior and proper belief formation seem to be critical features (and arguably sufficient).
								
Intelligence refers to an individual's ability to reason effectively, to grasp and manipulate complex thoughts, to abstract effectively. It does not refer to that person's ability to solve real world problems, though it tends to correlate. A person that has managed to perform a large array of tasks successfully is not necessarily of high relative intelligence, though being of high intelligence, other things equal, would be beneficial in accomplishing this. 	An intelligent individual can be deranged and completely unaware of her/his actions. 	No, that's like saying strength is the ability to manipulate heavy crates effectively. It is more and less than that.	Better, but vague. 	This is closer than other definitions in that the example is more relevant. It is still a definition by example though. 	Close, but seeing relationships is only part of it. 	I only disagree with "comprehending our surroundings" since it involves awareness which is  not part of intelligence per say. 	Sort of. Many things fall under this definition but are not about being intelligent. See previous answers.	Intelligence and rationality are not one and the same. The latter implies optimality. Intelligence is a capability, not a result.
Too restrictive. It doesn't cover all the human behavior.	This excludes creativity.	It would imply that Van Gogh, for example, was a fool			To see and to reconsider relationships		Creativity still missing	
								
					Too specific re: means ("see relationships)			
								
								
