	Too vague.  Begs the issue of when an agent has goals, e.g. does a thermostat really have a goal.	Too long, not really a definition.	Too long, not really a definition	Goals	Not sure how to decide if something has foresight, or if that should be a defining characteristic.	Both vague and narrow	Might as well say "ability to do a lot of stuff"	
								
This is a simple definition that captures most of the work on AI	Hinges too much on "success", when success is also contingent on the capabilities (action repertoire) of the "body" which the "intelligence" is controlling.	too specific	not elegant	not sure I am crazy about the computational resource part	too vague	"best possible" is unachievable in most scenarios	still a bit vague, but it's ok	"guidance and service to humans" seems again too narrow for a definition. A definition of AI needs to be broader than that.
It defines AI as a field of research.	The abilities in one domain do not translate to abilities in another. 	Just change intelligence to consciousness and the statement becomes valid.  	Cognitive abilities might be based on humans, but not limited by them. I would take issue with the physical world aspect, since that becomes an issue with trying to define what a robot is.  	I don't even know what any of that means. A goal-based, cross-domain intelligence with efficiency measured against hardware (computational) constraints? 	In high school we learned (not learnt) that you can't define a word using its self as part of the definition. 	Rational is another way of saying "your actions will be second-guessed by a committee." And "best possible action" is a local maxim problem. We can't define  the field of AI based on the kinds of outcomes we expect of these systems. 	A single algorithm? This is the problem with a bottom-up approach to AI, trying to fit the problem with the solution already at hand.  	OMG. Unbiased guidance and service to humans... The few, older attempts at the start sounded rational, but there is a clear social progression over time. The hindrance to consensus seems less about a technical understanding of the basic research, and more about perceived implications. 
								
"Perceive" and "act" are too general, "reason" needs further clarification.	Too permissive.				I'm not sure that foresight is strictly necessary as part of a definition of intelligence.	I mostly agree with this, but it's important that "rational" isn't taken to mean "totally ignores factors that are hard to precisely quantify." "Best possible action" isn't well-defined in most domains.		More of an application than a definition.
								
	Sufficiently flexible but adaptive linguistically. 	Scientific and still clear. 				Rationality is a bad qualifier. 		
		Intelligence does not need an environment.				Is true for non-intelligent agents, too.		
This is clearly a significant part of what AI is, though short of definitive.	This is clearly a significant part of what intelligence is, though short of definitive.	This is clearly a significant part of what intelligence is, though short of definitive.	The goal of AI is at least the range of human capability.	confusing, esp. part about normalization	too vague		"matching" is too specific	"unbiased" not part of the definition of machine intelligence, nor is service to humans
This ignores the question of why an entity benefits from perceiving and reasoning.	I think this gets at the heart of what constitutes intelligent behavior: intelligence is not an end in itself but a means to an end. The end is survival.		Far from being a definition of intelligence, this sounds like a reasonable definition of the goal of artificial intelligence, without recognizing the problematic differences between human and machine "intelligence"		Ignores the fact that functioning "appropriately" here means appropriate to human needs, not the machine's needs. Machines don't have needs and we have no idea how to imbue them with needs.	What is the point of rational action?	Why does the machine care to "meet complex information-processing challenges"?	Optimal for whom? The machine or the human designing it?
Key for me is an AI should operate in a dynamic, noisy environment. This means being able to perceive that environment and reason about it. Acting is optional. It may be just analyzing and advising, but still be an AI.	See previous answer.		That looks more like AGI, so is more a subset of AI. A machine could be considered intelligent in a particular domain, without being able to work on a variety of problems. 			Not necessarily best possible action but rather sufficiently optimized action. 		Getting unbiased guidance is probably not feasible 
								
Perception, reasoning, and action is too limited of a definition.  For example we act to achieve goals and meet needs.  	Restricting the definition to 'ability' to achieve goals is not a good measure of intelligence.   For example it does not look at 'adaptability'.  A system may achieve a certain set of goals using a simple algorithm thus score 'high intelligence' but is unable to adapt to new situations.  It also does not address the time span at which goals are met: sometimes it is intelligent to 'not perceive immediate goals' for the sake of long term flourishing (meeting of all needs). It we only look at a certain time window we will see someone binge eating and using drugs as 'intelligent' due to the dopamine release and 'in the moment' goal meeting.	Each of these Each of these questions addresses a problem I had with the previous...   Anyways - the problem with this definition is that it focus too much on adaptability.  Our goal is not to 'adapt' but to 'function and adapt'. 	Intelligence should not be limited to the needs and goals of 'humans' or 'human' capabilities.  Humans are changing (in the long run) and our needs and goals will change as we evolve genetically and culturally.  There may be other intelligent species (aliens, dolphins, etc.) out there with different capabilities, just as there are different subsets of humans with different capabilities.  I do agree on the 'not needing optimal behavior'.  None of us are optimal.	This sounds like intelligence is the ability to 'improve/adapt' when they state 'relative to prior distributions'.  Intelligence is not just about adapting the current system but the system itself.  We don't say a person loses their intelligence when they converge on a computational system which doesn't adapt for a while. 		Intelligent beings are not always rational.  With humans this is a byproduct of our intelligence.  Sometimes irrationality actually leads to more intelligent system.  For example with the genetic algorithm we need to increase mutation rates and introduce sub par solutions to get out of local minimums.	There is no need for intelligence to involve 'multiple domains'.  An intelligent system can involve one or many domains.  Human intelligence involves multiple domains as we have multiple needs and goals which are complex and multi-faceted. 	Not at all.  Machine intelligence can serve no human need or goal.  We will just tend to make intelligent machines which do so.
Seems incomplete - also, intelligence is not a study. You mean the field of AI - in which case "computations" is too restricted. What about non-computational aspects?	Contemplation e.g. is not covered but is an important part of decision making. Goal-based action is an important principle nevertheless (if you want to measure intelligence or something akin to it). Learning is also not included (explicitly).	This includes learning (from experience), which I like. But I find any limitation of the concept of intelligence to rationality dissatisfying. Relativism does not really save it for me. "Working definitions" are useful I suppose but they are like definitions that are missing (crucial) limbs...	Much more like it though "computer system" is too limited - in my view to speak of "goal" must include and allow for the possibility of not computer-based systems. otherwise, computational intelligence would be what you're looking for, not AI. The hard won extension to the science of the artificial would be lost.	I cannot understand this well enough to judge it. Too complicated to be true. Frankfurt School type definition...	I like it quite a bit - minimal, doesn't bite off more than it can chew. Is it operational? Perhaps not, because the devil's word here is "with foresight" - hard to measure if not impossible. 	Too Kantian though even more minimal.	Passes the buck to complexity science - still appealing, but does not solve much. The last sub clause is interesting though - the inclusion of natural and abstract domains is inspiring.	Machines as slaves (servicing machines) - not satisfying. Very limited. "Range of circumstances" less clear than the previous definition.
			Human competence is not a necessary condition for intelligence.					
						And how to know what is the best action in a situation?	I think humans have insights. Something beyond the logic, not limited to a linear sequence of events.	
								
I agree with this, but it seems insufficient: it just pushes the problem on to the word "reason".  And if a thermostat is AI, and our goal is achieved, then I would guess your whole definitional enterprise is undermined.	Again, I agree with this, but it seems insufficient.  Where do the goals come from?  Are there also a wide range of goals?	This has a lot more words but seems to be saying even less.  I have no idea what the final sentence even means.  And the second sentence is all tautological: how could an AI use infinite resources, or pause time, or even not learn from experience.	I don't like how it depends upon "humans" in its definition, although this maybe is in fact unneeded as the following sentences don't depend upon it.  I don't know what "different types of knowledge and learning" are.  But I agree it needs "broad competence" and "optimal behavior" is a red herring.	This is a nice formalized technical definition.  The kind of thing that you could use to prove impossibility results for intelligence.  But as the one definition intended to be a guide for the field and understood outside of the field.  This can't do that.	I like the shorter definitions.  They say less things to disagree with or are tautological for the purpose of being wordy.  However they suffer from just shifting the definitional problem... in this case to the word "appropriately".	How can intelligence ignore learning and only focus on the behavior that is the goal of learning?	Another definitional shift to "common sense" (what does that mean?).  But I do like the definition if you just drop that reference altogether. 	Optimal outcomes seems unnecessary.  Guidance and service to humans is a role that machine intelligence should play, but to say it’s the definition doesn't make sense to me.
As it is not restricted to perceive, reason, and act but has got multiple perspective to it.	Even dumbest human is an intelligent being.					Best possible action might not yield results		
This definition is not particularly useful, which might be an issue of not needing a definition at all. Then again, focusing solely on 'computations' will inevitably disenfranchise good research. Interestingly enough, the latter half sounds like it’s taken from a Robotics course; it too risks putting too much focus on part of the field.	Intelligence and the ability to act upon the results of your cognitive/computational processes are two very different things. Don't disagree strongly because intelligence is related to the ability to generalize.	This definition presents an animal, and in that it is accurate, but animal intelligence might disagree with "relative rationality". 	We need machines that solve specific hard problems as good as possible. Replacing humans in their entirety in not necessarily a desirable goal. If you want to limit AI to the latter, then you have successfully excluded the vast majority of current research under the umbrella term 'AI'. 	Is this an already active subfield? Otherwise it reads as a silly relabeling of Machine Learning related metric. 	This comes close, but again this is not something most AI researchers are working towards.	Intelligence is not about rational action as broadly understood. 'Rational action' is not well defined anyway, and could risk becoming a tautology in AI research. 	"What is it?" - "Ah, it's like this thing over here?" - "What's that like?" - "Aaaah" 	All decisions are by definition biased.
		Intelligence should be more than just "adapting". Being able to define what could be an Artificial Intelligence should allow to define what should be an Artificial Madness	This definition means that we are able to find all the human cognitive capabilities. 					
								
								Too ambitious (optimality).
								
	Intelligence could imply survival which does not necessarily encapsulate the above definitions. 	Concept of knowledge is not clearly defined.						
Too high-level. Also misses key elements like learning.	By this definition none of the current successful AI systems are intelligent.	Captures the essential properties. See my definition. The processing capacity limitation is not essential.	Apples and oranges. AI and human cognition do not need to be comparable in any scientific sense.	Similar to 3 but unnecessarily more mathy.	Too vague. 	Rationality is important but there are many other factors.	Similar to 3 but unnecessarily compares to humans	"Unbiased"? with respect to what? This is not a good definition.
								
Is it really computation? Also, perceive, reason, and act seem to be an oversimplification.	How the agent comes up with its own goals is also important but neglected in this question.	Humans are irrational and good creative things can result from that. Thinking of humans as purely rational limits the potential of human.				This will make the behavior very rigid.	Is it really information processing? Define information. If it is Shannon information, it does not have "meaning", as defined by Shannon, and AI needs meaning.	
								
It is (kind of) similar to human intelligence in the sense, a person's intellect is what he/she perceives then reason and take the action to the external stimulus.								
								
This captures much of the functional goal of replicating human IQ	This links knowing the solution to implementing the solution. Achievement is distinct from IQ	Cast as a working definition, this is nicely constrained and observable	This explicitly limits itself to building a human-type intelligence. One can imagine intelligences that lack the ability to process certain kinds of information (for instance social) but they wouldn't be human like. An important problem is that this definition doesn't require the intelligence to break down in the modular fashion in which human IQ can fail.	Relative to prior is a nice constraint to highlight the information processing component of goal achievement under novelty	too vague	too demanding	 too vague	defined nicely as an artificial assistant
			A rich and complex definition.	Intelligence is well explained.	Intelligence is not well described in this definition .	This definition contains a weak explanation of intelligence.	This definition contain a rich supply of features of intelligence.	This definition privileges aiding humans; not machine intelligence in and of itself.
			It needs to complete a relative success of the task to be retried, to observe if it truly learned, and becomes more efficient in its problem solving.					
	"wide range" is ambiguous. 	This one is a little better than the others, but "rationality" is another term which has very little meaning. There are plenty of animals and humans which are very intelligent, but not necessarily rational.	This is a little bit better. But I would remove "full range". Our systems don't need 100% of all human cognitive abilities, and few people in AI are working toward that.	This definition is too narrow, and constrained to some very tiny problems in AI. Also it's very difficult to read - too jargon-heavy.	This is much better. 	Please remove rationality from your definitions. Rationality was a concept that grew in favor in the mid-20th century by theoreticians who sought to diminish human experience into a 2x2 grid. Current science recognizes this is not the case.	This is the best definition so far. This is what researchers want in AI.	This is not a good definition. There is no such thing as an unbiased machine. Furthermore, see comments above on rationality.
